Publication Type;Authors;Author Full Names;Article Title;Source Title;Language;Document Type;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Publication Date;Publication Year;Volume;Issue;Start Page;End Page;Article Number;DOI;DOI Link;Number of Pages;WoS Categories;UT (Unique WOS ID);Web of Science Record
C;Jing, H;Jing Hui;Influence of Leadership Behavior on Process Change Management Mode: A Conceptual Model;PROCEEDINGS OF QUANZHOU CONFERENCE ON MANAGEMENT OF TECHNOLOGY (MOT2011);English;Proceedings Paper;"Leadership behavior; Process management; Incremental reform; Radical reengineering";BUSINESS PROCESS REDESIGN;TQM and BPR are the embodiments of process-based management thought. But TQM focuses on process's incremental reform, BPR on process's radical redesign. They represent two different kind of change mode of process management. In fact, which kind of method is more effective will be determined by many factors, such as leadership behavior? In this paper, the basic change mode of process management is explored firstly, and then leadership behavior style will be demonstrated systematically. The relationship between leadership and process change management mode will be investigated carefully, and a conceptual model is put forward for next empirical research.;[Jing Hui] Zhengzhou Univ, Sch Business, Zhengzhou, Peoples R China;Jing, H (corresponding author), Zhengzhou Univ, Sch Business, Zhengzhou, Peoples R China.;;;;10;0;0;1;7;;;978-986-307-025-2;;2011;;;47;51;;;;5;Management;WOS:000394927500009;View Full Record in Web of Science
J;"WARREN, JR; CROSSLIN, RL; MACARTHUR, PJ";"WARREN, JR; CROSSLIN, RL; MACARTHUR, PJ";SIMULATION MODELING FOR BPR - STEPS TO EFFECTIVE DECISION-SUPPORT;INFORMATION SYSTEMS MANAGEMENT;English;Article;;BUSINESS PROCESS REDESIGN;Simulation modeling can be used to assess the potential value and feasibility of alternative designs, providing an objective basis for the redesign decision making inherent in BPR. This article presents an eight-step approach to help structure the myriad management considerations critical to an effective, goal-driven simulation, and reviews modeling simulation's potential to stimulate ongoing organizational self-improvement and analysis.;"TECHNOL ECON INC, ROCKVILLE, MD USA; LOGIST MANAGEMENT INST, ROCKVILLE, MD USA";WARREN, JR (corresponding author), UNIV S AUSTRALIA, SCH COMP & INFORMAT SCI, INTELLIGENT SYST RES GRP, ADELAIDE, SA, AUSTRALIA.;;;Warren, James/0000-0002-8660-8951;7;11;11;0;1;1058-0530;1934-8703;;FAL;1995;12;4;32;42;;10.1080/07399019508963001;http://dx.doi.org/10.1080/07399019508963001;11;Computer Science, Information Systems;WOS:A1995RP80500006;View Full Record in Web of Science
J;"Albizu, E; Olazaran, M";"Albizu, E; Olazaran, M";BPR implementation in Europe: the adaptation of a management concept;NEW TECHNOLOGY WORK AND EMPLOYMENT;English;Article;;BUSINESS PROCESS REDESIGN;This paper analyses Business Process Re-engineering (BPR) implementation in 20 European firms. In contrast with the radical postulates of the early orthodox literature, the findings reveal that BPR was used in a preventive way, with implementation time lengths directly related to the scope of the organisational changes attempted and generating moderately positive results according to corporate performance indicators, with relatively low social cost.;"Univ Basque Country, Sch Ind Relat, Dept Business Management, Bilbao 48080, Spain; Univ Basque Country, Dept Sociol, Donostia San Sebastian 20015, Spain; Univ Basque Country, ILCLI Res Inst, Donostia San Sebastian 20015, Spain";Albizu, E (corresponding author), Univ Basque Country, Sch Ind Relat, Dept Business Management, POB 644, Bilbao 48080, Spain.;"eneka.albizu@ehu.es; mikel.olazaran@ehu.es";Albizu, Eneka/J-1987-2017;"Albizu, Eneka/0000-0003-0922-5583; OLAZARAN, MIKEL/0000-0002-3818-1850";66;11;12;0;8;0268-1072;;;MAR;2006;21;1;43;58;;10.1111/j.1468-005X.2006.00162.x;http://dx.doi.org/10.1111/j.1468-005X.2006.00162.x;16;"Ergonomics; Management";WOS:000235537900004;View Full Record in Web of Science
C;Meijer, BR;Meijer, BR;"From functional organizations to product-oriented organizations; A design methodology";EMS - 2000: PROCEEDINGS OF THE 2000 IEEE ENGINEERING MANAGEMENT SOCIETY;English;Proceedings Paper;;;"Functional organization structures have been very common in the manufacturing industries. The departments in a functional organization are based on similar skins, expertise and usually shared use of(similar) resources. The advantage is that specialist knowledge is easily maintained and shared by the people working in the department. Together with the grouping of resources, this results in redundancy in both men and machines. Within a functional department, efficiency and resource utilization can be stretched towards theoretical limits at the expense of high work in progress levels. Manufacturing planning and control for a functional organization however, is a very complex matter and was merely done by rule of thumb (typically one week per process step per department). If a manufacturing process would consist of 50 sequential steps, a delivery time of 1 year would not be uncommon. Monitoring the progress during this year was virtually impossible. Modern planning and control software is often thought of as a solution. Planning software usually fails to work properly if work in progress monitoring cannot be implemented to the level of an individual work order. Moreover, even if work in progress monitoring and tracing is;implemented sufficiently, planning and re-planning of work orders is still a very complex matter. The routing through functional departments introduces many non-value adding material transportation moves. Although functional organizations claim that they are very flexible because they are not obstructed by fixed routings, in practice they lack the means for managing product variety effectively. Since the seventies, matrix organizations have been invented for managing projects across functional departments. More important though, the demand for shorter lead-times and better quality control (customer orientation) has driven many manufacturing organizations towards a product-oriented organization model. Developments in flexible production automation and in production planning and control demanded more integration and this too pointed in the direction of a product-oriented organization model. In this paper, a business process redesign scheme is introduced that tends to favor the design of product oriented organization structures. The key to this scheme is that it designs organization structures that have an intrinsic match between the control instruments present in the organization hierarchy and the natural control needs of the core process. The core process is the process that contains the bare minimal functions absolutely necessary to fulfill the customers needs. The design approach will be illustrated with a case.";Delft Univ Technol, Sect Prod Engn, NL-2628 CD Delft, Netherlands;Meijer, BR (corresponding author), Delft Univ Technol, Sect Prod Engn, Mekelweg 2, NL-2628 CD Delft, Netherlands.;;;;4;1;2;1;2;;;0-7803-6443-0;;2000;;;357;362;;10.1109/EMS.2000.872530;http://dx.doi.org/10.1109/EMS.2000.872530;6;Operations Research & Management Science;WOS:000166443900064;View Full Record in Web of Science
S;"CRAIG, JF; YETTON, PW";"CRAIG, JF; YETTON, PW";TOP-DOWN AND BOTTOM UP MANAGEMENT OF BPR;BUSINESS PROCESS RE-ENGINEERING: INFORMATION SYSTEMS OPPORTUNITIES AND CHALLENGES;English;"Article; Proceedings Paper";"MANAGEMENT OF COMPUTING AND INFORMATION SYSTEMS; GENERAL";"BUSINESS PROCESS REDESIGN; WORK";This paper explores why successfully conducting BPR remains elusive. It reviews the espoused role of IT in reengineering to illustrate problems that characterise the BPR literature. Using a reconfiguration of the MIT90s model, the paper argues that what appear to be implementation problems are a consequence of conflict between the goals of BPR and the implicit strategic model adopted for it by most authors. A resolution to this dilemma, which affects IT's role in BPR, may be provided by alternate models of strategy and change.;;CRAIG, JF (corresponding author), UNIV NEW S WALES, AUSTRALIAN GRAD SCH MANAGEMENT, FUJITSU CTR MANAGING INFORMAT TECHNOL, SYDNEY, NSW 2052, AUSTRALIA.;;;Craig, Jane F/0000-0002-8118-917X;29;0;0;0;0;0926-5473;;0-444-82062-0;;1994;54;;201;210;;;;10;"Computer Science, Information Systems; Computer Science, Theory & Methods; Engineering, Industrial";WOS:A1994BB68G00023;View Full Record in Web of Science
J;"Silvestro, R; Westley, C";"Silvestro, R; Westley, C";Challenging the paradigm of the process enterprise: a case-study analysis of BPR implementation;OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE;English;Article;"business process re-engineering; process enterprise; process management; functional boundaries";"BUSINESS PROCESS REDESIGN; MANAGEMENT";"The dangers of functional organisation structures are well documented and have led to the advocation, particularly by exponents of BPR, of the process enterprise paradigm. This paper reports the results of case-study research that was conducted in order to explore the operational changes resulting from re-engineering companies along process, rather than functional lines. Increased market responsiveness, improved collaboration between functions and alignment of organisational objectives were some of the perceived benefits of the new process structures; but some disadvantages were also identified. Duplication of functional expertise and increased operational complexity resulted in an escalation of costs, the emergence of horizontal silos, inconsistency in the execution of functional decisions between processes, and general erosion of the efficiency of the operations network. These preliminary findings point to some possible contingencies of organisational design, suggesting that process structures may be conducive to the realisation of differentiation strategies, whilst functional structures may offer benefits to cost leaders. It is further proposed that matrix structures may be appropriate for companies adopting mixed strategies; however, it is envisaged that a more flexible approach to organisational design, based on a network rather than a matrix paradigm, could stimulate new developments in the future quest for strategic and structural alignment. (C) 2002 Elsevier Science Ltd. All rights reserved.";"Univ Warwick, Warwick Business Sch, Operat Management Grp, Coventry CV4 7AL, W Midlands, England; Yale Secur Prod UK Ltd, Willenhall WV13 1LA, W Midlands, England";Silvestro, R (corresponding author), Univ Warwick, Warwick Business Sch, Operat Management Grp, Coventry CV4 7AL, W Midlands, England.;omrs@wbs.warwick.ac.uk;;;35;36;36;0;26;0305-0483;;;JUN;2002;30;3;215;225;PII S0305-0483(02)00028-2;10.1016/S0305-0483(02)00028-2;http://dx.doi.org/10.1016/S0305-0483(02)00028-2;11;"Management; Operations Research & Management Science";WOS:000176624900007;View Full Record in Web of Science
C;"Low, WZ; De Weerdt, J; Wynn, MT; ter Hofstede, AHM; van der Aalst, WMP; Broucke, SV";"Low, W. Z.; De Weerdt, J.; Wynn, M. T.; ter Hofstede, A. H. M.; van der Aalst, W. M. P.; Broucke, S. vanden";Perturbing Event Logs to Identify Cost Reduction Opportunities: A Genetic Algorithm-based Approach;2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC);English;Proceedings Paper;;"BUSINESS PROCESS REDESIGN; OPTIMIZATION; DESIGN";Organisations are constantly seeking new ways to improve operational efficiencies. This research study investigates a novel way to identify potential efficiency gains in business operations by observing how they are carried out in the past and then exploring better ways of executing them by taking into account trade-offs between time, cost and resource utilisation. This paper demonstrates how they can be incorporated in the assessment of alternative process execution scenarios by making use of a cost environment. A genetic algorithm-based approach is proposed to explore and assess alternative process execution scenarios, where the objective function is represented by a comprehensive cost structure that captures different process dimensions. Experiments conducted with different variants of the genetic algorithm evaluate the approach's feasibility. The findings demonstrate that a genetic algorithm-based approach is able to make use of cost reduction as a way to identify improved execution scenarios in terms of reduced case durations and increased resource utilisation. The ultimate aim is to utilise cost-related insights gained from such improved scenarios to put forward recommendations for reducing process-related cost within organisations.;"[Low, W. Z.; Wynn, M. T.; ter Hofstede, A. H. M.; van der Aalst, W. M. P.] Queensland Univ Technol, Brisbane, Qld 4001, Australia; [ter Hofstede, A. H. M.; van der Aalst, W. M. P.] Tech Univ Eindhoven TU e, Eindhoven, Netherlands; [De Weerdt, J.; Broucke, S. vanden] Katholieke Univ Leuven, Louvain, Belgium";Low, WZ (corresponding author), Queensland Univ Technol, Brisbane, Qld 4001, Australia.;"w4.low@qut.edu.au; jochen.deweerdt@kuleuven.be; m.wynn@qut.edu.au; a.terhofstede@qut.edu.au; w.m.p.v.d.aalst@tue.nl; seppe.vandenbroucke@kuleuven.be";"ter Hofstede, Arthur/I-9787-2012; De Weerdt, Jochen/K-4663-2016; van der Aalst, Wil/G-1248-2011";"ter Hofstede, Arthur/0000-0002-2730-0201; De Weerdt, Jochen/0000-0001-6151-0504; van der Aalst, Wil/0000-0002-0955-6940; Wynn, Moe/0000-0002-7205-8821";31;6;6;0;0;;;978-1-4799-1488-3;;2014;;;2428;2435;;;;8;"Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Engineering, Electrical & Electronic";WOS:000356684603053;View Full Record in Web of Science
J;"Bolsinger, M; Elsasser, A; Helm, C; Roglinger, M";"Bolsinger, Manuel; Elsaesser, Anna; Helm, Caroline; Roeglinger, Maximilian";Process improvement through economically driven routing of instances;BUSINESS PROCESS MANAGEMENT JOURNAL;English;Article;"Process design; Process improvement; Business process management; Decision model; Economic valuation";"BUSINESS PROCESS REDESIGN; OPTIMIZATION; ORIENTATION; FRAMEWORK";Purpose - Process improvement is a fundamental activity of the business process management (BPM) lifecycle. However, practitioners still lack concrete guidance and adequate objectives for process improvement. Moreover, improvement projects typically tie up considerable amounts of capital and are very risky. Thus, more guidance is needed on how to derive concrete recommendations for process improvement in a goal-oriented manner. The paper aims to discuss these issues. Design/methodology/approach - The authors propose a decision model that determines along which paths the instances of a process should be routed to maximize the value contribution of the process. To do so, the decision model requires a process model and a set of historical process instances as inputs. Findings - The decision model builds on the idea that only the parameters of the process, i.e., the values according to which it is decided on which path an instance traverses the process, can be modified, without altering the structure of the process. The decision model determines the parameter setting that maximizes the value contribution of the process, which is measured in terms of the expected cash flow of the process. When determining the optimal parameter setting, the decision model considers that different instances and paths have different cash flow effects. Practical implications - The authors prototypically implemented the decision model and report on the insights from a demonstration example that is based on the order verification process of an IT distributor. Originality/value - The decision model complements existing approaches to process improvement as it reveals additional improvement potential by focussing on the decision points in a process without altering the structure of the process. The decision model also enables identifying an optimal parameter setting, as a concrete recommendation for process improvement, in line with the principles of value-based BPM.;"[Bolsinger, Manuel; Elsaesser, Anna; Helm, Caroline; Roeglinger, Maximilian] Univ Augsburg, FIM Res Ctr, D-86159 Augsburg, Germany";Roglinger, M (corresponding author), Univ Augsburg, FIM Res Ctr, D-86159 Augsburg, Germany.;maximilian.roeglinger@fim-rc.de;Röglinger, Maximilian/GQH-4037-2022;;47;9;9;0;9;1463-7154;1758-4116;;;2015;21;2;353;378;;10.1108/BPMJ-02-2014-0011;http://dx.doi.org/10.1108/BPMJ-02-2014-0011;26;"Business; Management";WOS:000358479200007;View Full Record in Web of Science
J;"Changchien, SW; Shen, HY";"Changchien, SW; Shen, HY";Supply chain reengineering using a core process analysis matrix and object-oriented simulation;INFORMATION & MANAGEMENT;English;Article;"supply chain management; business process reengineering; strategic alliances; object-oriented simulation";"BUSINESS PROCESS REDESIGN; INFORMATION TECHNOLOGY; SYSTEMS; IMPACT";To satisfy and respond quickly to customers' demand, many companies are now aggressively focusing on supply chain management in order to strengthen their competitiveness. This paper proposes an integrated business process reengineering (BPR) framework for improving performance. There are several steps in this framework: creating vision, identifying core processes to be redesigned, analyzing current core processes, designing for innovation, evaluating the new processes, selecting the best, and transforming and implementing the resulting design. A core process analysis matrix is proposed for identifying the critical processes. System simulation is useful in measuring the performance and predicting the effect of change on the system. To reduce the risk of BPR, an object-oriented simulation framework is developed for evaluating and analyzing the reengineering proposals. This paper uses a case study to show the value of the method. (C) 2002 Elsevier Science B.V. All rights reserved.;Chaoyang Univ Technol, Dept Informat Management, Taichung, Taiwan;Changchien, SW (corresponding author), Chaoyang Univ Technol, Dept Informat Management, 168 GiFeng E Rd, Taichung, Taiwan.;;;;30;32;33;0;32;0378-7206;;;MAR;2002;39;5;345;358;;10.1016/S0378-7206(01)00102-1;http://dx.doi.org/10.1016/S0378-7206(01)00102-1;14;"Computer Science, Information Systems; Information Science & Library Science; Management";WOS:000173575600002;View Full Record in Web of Science
J;Guimaraes, T;Guimaraes, T;Empirically testing the antecedents of BPR success;INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS;English;Article;"Business Process Reengineering (BPR); implementation; success factors; planning objectives; benefits; company performance results";"BUSINESS PROCESS REDESIGN; INFORMATION TECHNOLOGY; STRATEGY; PERFORMANCE";Business Process Reengineering (BPR) has been touted by many as dramatic improvements necessary for organization competitiveness, but in practice there are many unsuccessful cases. Thus, there is need for a more systematic and rigorous assessment of the factors deemed important to project success. That is the main objective of this study. In this case, success has been defined in three different ways: goals and objectives accomplished by the project, benefits derived from the project, and its impact on company performance. Based on the results, recommendations are made for managers to focus attention and resources on factors important to success, and to proceed in a fashion which minimizes the risk of failure. The point of entry into the companies participating in this study were internal auditing directors and comptrollers (IAs). The membership list for a national professional association was the original source. Questionnaires were mailed to the IAs of 1200 randomly selected organizations. The usable sample of 324 questionnaires represent a 27% response rate. In general, organizations are not emphasizing some of the most important activities and tasks recommended in the BPR literature, such as changes to customer/market related business processes, the value-added element of every business activity, and applying the right innovative technology. Based on the findings as a whole, it behooves top managers not to engage in BPR before ensuring the presence of the success factors found to be important.;;Guimaraes, T (corresponding author), TENNESSEE TECHNOL UNIV,INST TECHNOL MANAGEMENT,JE OWEN CHAIR,COOKEVILLE,TN 38505, USA.;;;;36;11;11;0;5;0925-5273;;;Jun 16;1997;50;02. Mrz;199;210;;10.1016/S0925-5273(97)00041-8;http://dx.doi.org/10.1016/S0925-5273(97)00041-8;12;"Engineering, Industrial; Engineering, Manufacturing; Operations Research & Management Science";WOS:A1997XK56500012;View Full Record in Web of Science
J;"Guimaraes, T; Bond, W";"Guimaraes, T; Bond, W";Empirically assessing the impact of BPR on manufacturing firms;INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT;English;Article;"BPR; implementation; organizations; success";"BUSINESS PROCESS REDESIGN; INFORMATION TECHNOLOGY; STRATEGY; PERFORMANCE";Business process re-engineering (BPR) has been touted by many as dramatic improvements become necessary for organizations to improve competitiveness and remain strong participants in economic development. While as a concept BPR is like ''motherhood and apple pie'', in practice there are many unsuccessful cases. Aims to identify and rate the importance of factors proposed as important for successfully implementing BPR projects in organizations, the extent to which various problems and benefits are being encountered, the extent to which proposed BPR objectives are being included in project plans and are actually being derived, and the impact of BPR projects on specific business processes and on the organization as a whale. Tests several basic hypotheses regarding the BPR implementation process, and makes recommendations for managers to focus attention and resources on factors important to success, and to proceed in a fashion which minimizes the risk of failure.;;Guimaraes, T (corresponding author), TENNESSEE TECHNOL UNIV, COOKEVILLE, TN 38505 USA.;;;;62;32;32;0;5;0144-3577;1758-6593;;;1996;16;8;5;+;;10.1108/01443579610125750;http://dx.doi.org/10.1108/01443579610125750;0;Management;WOS:A1996VG67700002;View Full Record in Web of Science
S;El Sawy, OA;El Sawy, Omar A.;REDESIGNING IT-ENABLED CUSTOMER SUPPORT PROCESSES FOR DYNAMIC ENVIRONMENTS;BUSINESS PROCESS TRANSFORMATION;English;"Article; Book Chapter";"Customer Support Process; Customer Service; Business Process Redesign; Business Process Transformation; Information Technologies for Customer Integration; Fast Response Management; Learning Organization; Fast Learning; Learningful Processes; Knowledge Management; Knowledge Creation; Knowledge Synthesis; Knowledge Sharing; Knowledge-Based Organization; Electronic Business; Interorganizational Information Systems; IT Effects; Expert Systems; Help Desk; Help Desk Software; Problem Resolution Technologies";"INFORMATION-TECHNOLOGY; KNOWLEDGE MANAGEMENT; SYSTEMS; DESIGN";This chapter provides insights for redesigning IT-enabled customer support processes to meet the demanding requirements of highly dynamic environments in which fast response, shared knowledge creation, and internetworked technologies are the dynamic enablers of success. The chapter describes the implementation of the TechConnect support system at Storage Dimensions, a manufacturer of high-availability computer storage system products. TechConnect is a unique IT infrastructure for problem resolution that includes a customer support knowledge base in which the structure is dynamically updated based on adaptive learning through customer interactions. The chapter assesses the effects of TechConnect and its value in creating a learning organization. It then draws insights for redesigning knowledge-creating customer support processes for the dynamic business conditions of the electronic economy.;"[El Sawy, Omar A.] Marshall Sch Business, Informat & Operat Management Dept, Los Angeles, CA USA; [El Sawy, Omar A.] USC, CTM, Los Angeles, CA USA; [El Sawy, Omar A.] Stanford Univ, Stanford, CA 94305 USA";El Sawy, OA (corresponding author), Marshall Sch Business, Informat & Operat Management Dept, Los Angeles, CA USA.;;El Sawy, Omar/ABG-7773-2021;;31;1;1;0;1;1554-6152;;978-0-7656-1191-8;;2008;9;;157;183;;;;27;"Business; Computer Science, Information Systems; Information Science & Library Science; Operations Research & Management Science";WOS:000283436500010;View Full Record in Web of Science
J;Guimaraes, T;Guimaraes, T;Field testing of the proposed predictors of BPR success in manufacturing firms;JOURNAL OF MANUFACTURING SYSTEMS;English;Article;"business process reengineering; success factors; implementation; BPR success";"BUSINESS PROCESS REDESIGN; INFORMATION TECHNOLOGY; STRATEGY; PERFORMANCE";"Business Process Reengineering (BPR) has been touted as necessary for dramatic improvements in organizational competitiveness. In practice, there have been successful and unsuccessful cases; thus, there is a need for systematic and rigorous assessment of the factors deemed important to project success. This paper defines success in three ways: goals and objectives accomplished by the project, benefits derived from the project, and the project's impact on company performance. Based on survey results, recommendations are made on the factors that are important to success and that minimize the risk of failure. Contact persons at the companies participating in this study were internal auditing directors and comptrollers (collectively called IAs here). Questionnaires were mailed to the IAs of 586 randomly selected manufacturing organizations. The usable sample of 135 questionnaires represented a 22% response rate. In general, the surveys showed that organizations are not emphasizing some of the most important activities and tasks recommended in the BPR literature, such as changes to customer/market-related business processes, the value-added element of every business activity, and applying the right innovative technology. Based on the findings as a whole, top managers should not engage in BPR before ensuring the presence of the important success factors. While the findings are based on manufacturing companies, the results may be generalizable to other industrial sectors.";Tennessee Technol Univ, Cookeville, TN 38505 USA;Guimaraes, T (corresponding author), Tennessee Technol Univ, Cookeville, TN 38505 USA.;;;;50;19;20;0;3;0278-6125;;;;1999;18;1;53;65;;10.1016/S0278-6125(99)80012-0;http://dx.doi.org/10.1016/S0278-6125(99)80012-0;13;"Engineering, Industrial; Engineering, Manufacturing; Operations Research & Management Science";WOS:000080204900005;View Full Record in Web of Science
J;Wu, IL;Wu, IL;A model for implementing BPR based on strategic perspectives: an empirical study;INFORMATION & MANAGEMENT;English;Article;"business process reengineering; competitive strategy; reengineering methodology; information technology";"BUSINESS PROCESS REDESIGN; INFORMATION TECHNOLOGY; METHODOLOGIES; MANAGEMENT; SUCCESS";"Business process reengineering (BPR) efforts have been reported successful in many firms. However, the failure rates were as high as 70%. Various reasons for this have been given in past research. One major reason was that the efforts had not been connected to the corporate goals, In addition, the steps in implementing BPR in past discussions were, however, incomplete and the papers merely reported a part of the process. This study proposes an integrative approach based on a strategic perspective, Basically, this framework involves three steps that: (1) identify corporate strategies based on analysis of a strategic thrust/strategic target matrix; (2) select strategic paths for BPR based on analysis of a functional coupling framework with the IT application; (3) implement BPR based on analysis of project characteristics to decide on a suitable version of the composite methodology. Furthermore, this framework is illustrated by using an empirical study to demonstrate its application in some business units. (C), 2002 Elsevier Science B.V. All rights reserved.";Natl Chung Cheng Univ, Dept Informat & Management, Chiayi 621, Taiwan;Wu, IL (corresponding author), Natl Chung Cheng Univ, Dept Informat & Management, 160 San Hsing,Ming Hsiung, Chiayi 621, Taiwan.;ilwu@mis.ccu.edu.tw;;;38;43;43;0;12;0378-7206;1872-7530;;JAN;2002;39;4;313;324;;10.1016/S0378-7206(01)00099-4;http://dx.doi.org/10.1016/S0378-7206(01)00099-4;12;"Computer Science, Information Systems; Information Science & Library Science; Management";WOS:000173105000006;View Full Record in Web of Science
J;"Markov, G; Hall, JG; Rapanotti, L";"Markov, Georgi; Hall, Jon G.; Rapanotti, Lucia";POE-Delta: Towards an engineering framework for solving change problems;SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE;English;Article;"organizational change; information systems; change problems; problem solving; design theory";"BUSINESS PROCESS REDESIGN; CHANGE MANAGEMENT; ORGANIZATIONAL-CHANGE; DESIGN THEORY";Many organizational problems are addressed through change to existing Information Systems (IT) rather than radical new design. In the face of high incidence of IT project failure, devising effective ways to tackle this type of change remains an open challenge. The paper discusses the motivation, theoretical foundation, characteristics and evaluation of a novel framework, referred to as POE-Delta, which is rooted in design and engineering and is aimed at providing systematic support for representing, structuring and exploring change problems. We generalize an existing theory of greenfield design as problem solving for application to change problems: from a theoretical perspective POE-Delta is a subset of its parent framework, allowing the seamless integration of greenfield and brownfield design to tackle change problems. Its initial case study evaluation shows that POE-Delta allows the systematic analysis of change problems, leading to clearer understanding and better informed decision making. (c) 2018 John Wiley & Sons, Ltd.;"[Markov, Georgi; Hall, Jon G.; Rapanotti, Lucia] Open Univ, Dept Comp & Commun, Milton Keynes, Bucks, England";Markov, G (corresponding author), Open Univ, Dept Comp & Commun, Milton Keynes, Bucks, England.;georgi.markov@open.ac.uk;;Markov, Georgi/0000-0003-0612-2415;36;0;0;0;6;1092-7026;1099-1743;;JAN-FEB;2019;36;1;53;65;;10.1002/sres.2533;http://dx.doi.org/10.1002/sres.2533;13;"Management; Social Sciences, Interdisciplinary";WOS:000454783100004;View Full Record in Web of Science
J;"Cho, M; Song, M; Yoo, S; Reijers, HA";"Cho, Minsu; Song, Minseok; Yoo, Sooyoung; Reijers, Hajo A.";An Evidence-Based Decision Support Framework for Clinician Medical Scheduling;IEEE ACCESS;English;Article;"Simulation modeling; process mining; personal clinician schedules; experimental analyses; waiting time for consultation";"OUTPATIENT PROCESS ANALYSIS; BUSINESS PROCESS REDESIGN; HEALTH-CARE; PREFERENCES";"In healthcare management, waiting time for consultation is an important measure that has strong associations with patient's satisfaction (i.e., the longer patients wait for consultation, the less satisfied they are). To this end, it is required to optimize medical scheduling for clinicians. A typical approach for deriving the optimized schedules is to perform experiments using discrete event simulation. The existing work has developed how to build a simulation model based on process mining techniques. However, applying this method for outpatient processes straightforwardly, in particular medical scheduling, is challenging: 1) the collected data from electronic health record system requires a series of processes to acquire simulation parameters from the raw data; and 2) even if the derived simulation model fully reflects the reality, there is no systematic approach to deriving effective improvements for simulation analysis, i.e., experimental scenarios. To overcome these challenges, this paper proposes a novel decision support framework for a clinician's schedule using simulation analysis. In the proposed framework, a data-driven simulation model is constructed based on process mining analysis, which includes process discovery, patient arrival rate analysis, and service time analysis. Also, a series of steps to derive the optimal improvement method from the simulation analysis is included in the framework. To demonstrate the usefulness of our approach, we present the case study results with real-world data in a hospital.";"[Cho, Minsu; Song, Minseok] Pohang Univ Sci & Technol, Dept Ind & Management Engn, Pohang 37673, South Korea; [Yoo, Sooyoung] Seoul Natl Univ, Bundang Hosp, Hlth ICT Res Ctr, Seoul 13620, South Korea; [Reijers, Hajo A.] Univ Utrecht, Dept Informat & Comp Sci, NL-3512 Utrecht, Netherlands";Song, M (corresponding author), Pohang Univ Sci & Technol, Dept Ind & Management Engn, Pohang 37673, South Korea.;mssong@postech.ac.kr;"Cho, Minsu/AAE-2176-2019; Song, Minseok/U-9378-2019; Cho, Minsu/R-3547-2017";"Cho, Minsu/0000-0002-9442-9232; Song, Minseok/0000-0002-6813-8853; Cho, Minsu/0000-0002-9442-9232";33;9;9;1;14;2169-3536;;;;2019;7;;15239;15249;;10.1109/ACCESS.2019.2894116;http://dx.doi.org/10.1109/ACCESS.2019.2894116;11;"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications";WOS:000460505500001;View Full Record in Web of Science
J;"Ghasemi, M; Amyot, D";"Ghasemi, Mahdi; Amyot, Daniel";From event logs to goals: a systematic literature review of goal-oriented process mining;REQUIREMENTS ENGINEERING;English;Review;"Business process management; Event logs; Goal mining; Goal modeling; Intention mining; Performance indicators; Process mining; Requirements engineering; Systematic literature review";"BUSINESS PROCESS REDESIGN; PROCESS MODELS; CONFORMANCE CHECKING; MANAGEMENT; CROWD";Process mining helps infer valuable insights about business processes using event logs, whereas goal modeling focuses on the representation and analysis of competing goals of stakeholders and systems. Although there are clear benefits in mining the goals of existing processes, goal-oriented approaches that consider logs during model construction are still rare. Process mining techniques, when generalizing large instance-level data into process models, can be considered as a data-driven complement to use case/scenario elicitation. Requirements engineers can exploit process mining techniques to find new system or process requirements in order to align current practices and desired ones. This paper provides a systemic literature review, based on 24 papers rigorously selected from four popular search engines in 2018, to assess the state of goal-oriented process mining. Through two research questions, the review highlights that the use of process mining in association with goals does not yet have a coherent line of research, whereas intention mining (where goal models are mined) shows a meaningful trace of research. Research about performance indicators measuring goals associated with process mining is also sparse. Although the number of publications in process mining and goal modeling is trending up, goal mining and goal-oriented process mining remain modest research areas. Yet, synergetic effects achievable by combining goals and process mining can potentially augment the precision, rationality and interpretability of mined models and eventually improve opportunities to satisfy system stakeholders.;"[Ghasemi, Mahdi; Amyot, Daniel] Univ Ottawa, Sch EECS, 800 King Edward, Ottawa, ON K1N 6N5, Canada";Amyot, D (corresponding author), Univ Ottawa, Sch EECS, 800 King Edward, Ottawa, ON K1N 6N5, Canada.;"mghas020@uottawa.ca; damyot@uottawa.ca";Amyot, Daniel/AAI-6948-2020;Amyot, Daniel/0000-0003-2414-1791;115;15;16;17;53;0947-3602;1432-010X;;MAR;2020;25;1;67;93;;10.1007/s00766-018-00308-3;http://dx.doi.org/10.1007/s00766-018-00308-3;27;"Computer Science, Information Systems; Computer Science, Software Engineering";WOS:000512947400004;View Full Record in Web of Science
